Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length
F6TII7,F6TII7_XENTR,unreviewed,Dermatopontin,dpt,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),217
A0A6I8RMG4,A0A6I8RMG4_XENTR,unreviewed,Laminin subunit gamma-1,lamc1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1596
A0A803JZH8,A0A803JZH8_XENTR,unreviewed,Bone morphogenetic protein 5,bmp5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),412
L7N3T2,L7N3T2_XENTR,unreviewed,C1q and TNF related 3,c1qtnf3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),310
F7CS05,F7CS05_XENTR,unreviewed,Chordin,chrd.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),942
B1H305,B1H305_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnlip LOC100145526,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),360
A0A6I8SI97,A0A6I8SI97_XENTR,unreviewed,C-C motif chemokine,ccl5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),117
A0A803K0M6,A0A803K0M6_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),173
A0A7D9NM11,A0A7D9NM11_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),XENTR_v90027326mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),551
A0A803J3M4,A0A803J3M4_XENTR,unreviewed,Neuregulin 1,nrg1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),617
F7D002,F7D002_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2547
A0A803K5K1,A0A803K5K1_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),LOC394967,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),517
A0A6I8RY04,A0A6I8RY04_XENTR,unreviewed,Laminin subunit alpha 2,lama2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3219
Q66KM3,Q66KM3_XENTR,unreviewed,Adamts9 protein,adamts9,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),867
A0A6I8QXK8,A0A6I8QXK8_XENTR,unreviewed,Apolipoprotein H (Beta-2-glycoprotein 1) (Beta-2-glycoprotein I),LOC100497740,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),286
A0A803K0P8,A0A803K0P8_XENTR,unreviewed,Galectin,lgals3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),246
A0A6I8S404,A0A6I8S404_XENTR,unreviewed,Cellular communication network factor 2,ccn2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),356
A0A1B8Y171,A0A1B8Y171_XENTR,unreviewed,Uncharacterized protein,XENTR_v90028007mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),397
A0A6I8SGV0,A0A6I8SGV0_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),181
A0A6I8QVL1,A0A6I8QVL1_XENTR,unreviewed,"Leucine-rich, glioma inactivated 1",lgi1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),523
A0A6I8QZ83,A0A6I8QZ83_XENTR,unreviewed,Clusterin,clul1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),448
A0A6I8PXI9,A0A6I8PXI9_XENTR,unreviewed,Interferon lambda3,LOC100329164,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),145
A0A6I8RW12,A0A6I8RW12_XENTR,unreviewed,Chromosome 6 open reading frame 58,c6orf58,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),355
A0A803JCZ8,A0A803JCZ8_XENTR,unreviewed,Peptide YY,pyy,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),113
A0A6I8QI11,A0A6I8QI11_XENTR,unreviewed,FAM3 metabolism regulating signaling molecule D,fam3d,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),227
A0A6I8SR19,A0A6I8SR19_XENTR,unreviewed,"Collagen, type XIV, alpha 1",col14a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1866
B0BMF1,B0BMF1_XENTR,unreviewed,LOC100145034 protein (Fragment),LOC100145034,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),352
A0A6I8RUV1,A0A6I8RUV1_XENTR,unreviewed,C-C motif chemokine,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),85
A0A6I8QG20,A0A6I8QG20_XENTR,unreviewed,Protein Wnt,wnt3a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),332
A0A6I8PK28,A0A6I8PK28_XENTR,unreviewed,Neuropeptide Y,npy,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),107
A0A6I8QRS9,A0A6I8QRS9_XENTR,unreviewed,Protein NDNF,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),430
A0A803K9P4,A0A803K9P4_XENTR,unreviewed,Phospholipase A1 member A,pla1a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),489
A0A6I8QBY6,A0A6I8QBY6_XENTR,unreviewed,Fraser extracellular matrix complex subunit 1,fras1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4014
A0A803KEU4,A0A803KEU4_XENTR,unreviewed,Tubby-like protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),450
F6YFJ8,F6YFJ8_XENTR,unreviewed,ADAMTS like 1,adamtsl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1786
F6Z7M8,F6Z7M8_XENTR,unreviewed,Phospholipase A2 (EC 3.1.1.4),pla2g2e,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),147
Q683W6,Q683W6_XENTR,unreviewed,Peroxidasin (Fragment),pxn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),327
A0A6I8RP28,A0A6I8RP28_XENTR,unreviewed,Matrix metallopeptidase 20,mmp20,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),478
A0A6I8SLB5,A0A6I8SLB5_XENTR,unreviewed,ALK and LTK ligand 2,alkal2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),157
Q5U4Y0,Q5U4Y0_XENTR,unreviewed,"Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (Semaphorin) 3F",sema3f,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),640
F6WN03,F6WN03_XENTR,unreviewed,Growth hormone 1,trmt12 gh1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),214
Q28EP7,Q28EP7_XENTR,unreviewed,Novel protein,chga TGas081i01.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),436
A8WGZ4,A8WGZ4_XENTR,unreviewed,Postn protein,postn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),795
A0A803KAG1,A0A803KAG1_XENTR,unreviewed,Hemagglutinin/amebocyte aggregation factor,LOC100486393,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),184
A0A6I8RDR1,A0A6I8RDR1_XENTR,unreviewed,Collagen type VI alpha 3 chain,col6a3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3091
A0A6I8SH75,A0A6I8SH75_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 7,adamts7,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1765
F6XC33,F6XC33_XENTR,unreviewed,Thrombospondin 1,thbs1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1204
F6QRS1,F6QRS1_XENTR,unreviewed,Insulin,fbxw8 ins,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),113
D3TZC4,D3TZC4_XENTR,unreviewed,Ectonucleotidase enpp3 (Fragment),enpp3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),818
Q6DK87,Q6DK87_XENTR,unreviewed,"Complement component 8, alpha polypeptide",c8a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),584
A0A6I8R0N9,A0A6I8R0N9_XENTR,unreviewed,FAM3 metabolism-regulating-signaling molecule A,fam3a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),226
A0A803JEE0,A0A803JEE0_XENTR,unreviewed,Fibulin-1,fbln1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),664
A0A803J737,A0A803J737_XENTR,unreviewed,Beta-microseminoprotein,LOC101733634,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),112
A0A6I8RHS6,A0A6I8RHS6_XENTR,unreviewed,Interleukin 17D,il17d,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),217
A0A6I8QWL2,A0A6I8QWL2_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),478
A0A6I8RH41,A0A6I8RH41_XENTR,unreviewed,Pregnancy-zone protein,pzp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1475
A0A803JHB5,A0A803JHB5_XENTR,unreviewed,C1q and TNF-related 1,c1qtnf1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),334
A0A803JSE7,A0A803JSE7_XENTR,unreviewed,Collagenase 3,LOC101731804,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),260
A0A803JM46,A0A803JM46_XENTR,unreviewed,Mucin-5AC,LOC100495470,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),5507
A0A803JTQ3,A0A803JTQ3_XENTR,unreviewed,Twisted gastrulation BMP signaling modulator 1,twsg1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),255
A0A6I8QD82,A0A6I8QD82_XENTR,unreviewed,Protein kinase C-binding protein NELL2,nell2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),772
F7EEQ4,F7EEQ4_XENTR,unreviewed,Bone morphogenetic protein 8 (osteogenic protein 2),bmp8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),419
F7ADY2,F7ADY2_XENTR,unreviewed,Endothelin 1,edn1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),222
A0A803JEC2,A0A803JEC2_XENTR,unreviewed,Tachykinin-like peptide,LOC116411693,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),111
A0A6I8Q463,A0A6I8Q463_XENTR,unreviewed,"Trefoil factor 3, gene 2",tff3.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),77
A0A6I8R0S4,A0A6I8R0S4_XENTR,unreviewed,Mucin-5AC,LOC100495470,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),5125
B0BMR6,B0BMR6_XENTR,unreviewed,Bactericidal permeability-increasing protein,bpi.4 bpi bpil,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),476
A0A6I8QIP9,A0A6I8QIP9_XENTR,unreviewed,"EGF-like, fibronectin type III and laminin G domains",egflam,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1043
A0A803J4A1,A0A803J4A1_XENTR,unreviewed,Elastin (Tropoelastin),eln1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1158
A0A803J8Y6,A0A803J8Y6_XENTR,unreviewed,Collagen type V alpha 3 chain,LOC100497990,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1797
A0A6I8SLL5,A0A6I8SLL5_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 7,adamts7,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1753
A0A1B8Y6C5,A0A1B8Y6C5_XENTR,unreviewed,Protein Wnt (Fragment),XENTR_v900307953mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),96
A0A1B8Y2V4,A0A1B8Y2V4_XENTR,unreviewed,Lipase domain-containing protein (Fragment),XENTR_v900273252mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),166
A0A6I8SVB6,A0A6I8SVB6_XENTR,unreviewed,Complement C3,c3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1703
A0A6I8QG43,A0A6I8QG43_XENTR,unreviewed,ADAM metallopeptidase with thrombospondin type 1 motif 17,adamts17,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1086
A0A803K699,A0A803K699_XENTR,unreviewed,FAM3 metabolism-regulating-signaling molecule A,fam3a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),254
L7N3U0,L7N3U0_XENTR,unreviewed,"Growth differentiation factor 11, gene 1",kcng2 gdf11 gdf11.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),384
Q5BL52,Q5BL52_XENTR,unreviewed,Matrix metallopeptidase 14 (Membrane-inserted),mmp14,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),578
A0A6I8SKM0,A0A6I8SKM0_XENTR,unreviewed,Nodal homolog 2,nodal2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),405
A0A6I8RIY4,A0A6I8RIY4_XENTR,unreviewed,Olfactomedin 2,olfm2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),477
A8WGG2,A8WGG2_XENTR,unreviewed,LOC100127688 protein,a2ml1 LOC100127688,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1440
B1PT69,B1PT69_XENTR,unreviewed,Relaxin family locus C type II,rflcii RFLCII,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),157
A0A6I8RQE6,A0A6I8RQE6_XENTR,unreviewed,Pregnancy-zone protein,pzp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1463
A0A803J7L2,A0A803J7L2_XENTR,unreviewed,Protein Wnt,wnt4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),326
A0A1B8Y7C9,A0A1B8Y7C9_XENTR,unreviewed,Uncharacterized protein,XENTR_v90030200mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1173
A0A803K095,A0A803K095_XENTR,unreviewed,Otogelin-like 2,otogl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3417
A0A803JX62,A0A803JX62_XENTR,unreviewed,Preprocaerulein type-4-like,LOC116411701,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),163
A4IGU5,A4IGU5_XENTR,unreviewed,LOC100037908 protein,pik3r3 LOC100037908 sfrpx,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),288
A0A6I8SY16,A0A6I8SY16_XENTR,unreviewed,Protein NDNF,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),361
F6Y9L2,F6Y9L2_XENTR,unreviewed,Augurin,lmcd1 ecrg4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),158
F6ZQV5,F6ZQV5_XENTR,unreviewed,"Nodal homolog 5, gene 2",nodal5 nodal5.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),368
F6SP35,F6SP35_XENTR,unreviewed,Fibrinogen alpha chain,fga,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),761
A0A803JEI9,A0A803JEI9_XENTR,unreviewed,Tectorin beta,tectb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),679
A0A6I8Q9B0,A0A6I8Q9B0_XENTR,unreviewed,Laminin subunit alpha 2,lama2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3131
Q5M8V9,Q5M8V9_XENTR,unreviewed,WNT1 inducible signaling pathway protein 2,ccn5 wisp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),312
F7D608,F7D608_XENTR,unreviewed,Kielin/chordin-like protein,cd247 kcp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2180
A0A6I8PVG7,A0A6I8PVG7_XENTR,unreviewed,Fetuin B,fetub,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),395
A0A803JZH0,A0A803JZH0_XENTR,unreviewed,Otogelin-like 2,otogl2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3285
A0A6I8T2R0,A0A6I8T2R0_XENTR,unreviewed,Artemin,artn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),332
F6TCS3,F6TCS3_XENTR,unreviewed,Pregnancy-zone protein,pzp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1482
F6YPW6,F6YPW6_XENTR,unreviewed,"Papilin, proteoglycan-like sulfated glycoprotein",papln,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1178
F6YRB8,F6YRB8_XENTR,unreviewed,Kallikrein B1,klkb1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),629
A0A803K1X4,A0A803K1X4_XENTR,unreviewed,Elastin (Tropoelastin),eln1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1162
A0A803KFA0,A0A803KFA0_XENTR,unreviewed,Heparan sulfate proteoglycan 2,hspg2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4271
A0A6I8PX11,A0A6I8PX11_XENTR,unreviewed,CRF domain-containing protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),207
B1WAZ3,B1WAZ3_XENTR,unreviewed,Growth differentiation factor 1,gdf1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),361
A0A803K8I4,A0A803K8I4_XENTR,unreviewed,Complement C5,c5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1149
A0A803KEX5,A0A803KEX5_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2379
A0A6I8QYU6,A0A6I8QYU6_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),525
A0A1B8YAW1,A0A1B8YAW1_XENTR,unreviewed,ILEI domain-containing protein,XENTR_v90026324mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),178
L7N311,L7N311_XENTR,unreviewed,Perforin-1,LOC101732506,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),539
A0A6I8RHQ3,A0A6I8RHQ3_XENTR,unreviewed,Uromodulin,LOC101732853,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),433
A0A6I8QZ27,A0A6I8QZ27_XENTR,unreviewed,"Collagen, type XII, alpha 1",col12a1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1909
A0A1B8Y8N3,A0A1B8Y8N3_XENTR,unreviewed,Albumin domain-containing protein (Fragment),XENTR_v900292502mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),168
A0A6I8SHI0,A0A6I8SHI0_XENTR,unreviewed,Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89),sec11c,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),189
F6W285,F6W285_XENTR,unreviewed,Uncharacterized protein,trak2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),881
A0A803K188,A0A803K188_XENTR,unreviewed,Spexin hormone,spx,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),241
A0A803KFE0,A0A803KFE0_XENTR,unreviewed,"Nodal homolog 5, gene 2",nodal5.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),386
F6XFG5,F6XFG5_XENTR,unreviewed,Inter-alpha-trypsin inhibitor heavy chain family member 5,itih5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1035
F6S590,F6S590_XENTR,unreviewed,Neuropeptide Y2 (Fragment),NPY2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),90
A0A6I8R253,A0A6I8R253_XENTR,unreviewed,Complement C2,c2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),648
Q28GM9,Q28GM9_XENTR,unreviewed,"Phospholipase A2, group XIIA",pla2g12a TEgg137c16.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),195
A0A803JI46,A0A803JI46_XENTR,unreviewed,Leucine-rich repeat LGI family member 2,lgi2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),586
A0A803KGK1,A0A803KGK1_XENTR,unreviewed,Folate gamma-glutamyl hydrolase (EC 3.4.19.9),ggh,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),315
A0A6R5AD28,A0A6R5AD28_XENTR,unreviewed,Growth differentiation factor 5,gdf5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),496
A0A803KEA7,A0A803KEA7_XENTR,unreviewed,"Mucin 5AC, oligomeric mucus/gel-forming",muc5ac,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4276
A0A803JTR3,A0A803JTR3_XENTR,unreviewed,"Mucin 5AC, oligomeric mucus/gel-forming",muc5ac,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4010
F6X3B2,F6X3B2_XENTR,unreviewed,Protein Wnt,wnt1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),346
Q28IW4,Q28IW4_XENTR,unreviewed,"Frizzled related protein 2, crescent",frzb2 TNeu117g19.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),299
B5DEE0,B5DEE0_XENTR,unreviewed,Uncharacterized protein (Fragment),,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1666
A0A6I8R910,A0A6I8R910_XENTR,unreviewed,Protein Wnt,wnt3a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),331
A0A6I8QX08,A0A6I8QX08_XENTR,unreviewed,"Trefoil factor 3, gene 5",tff3.5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),311
A0A6I8R2Z6,A0A6I8R2Z6_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),621
A0A6I8QSB2,A0A6I8QSB2_XENTR,unreviewed,Nidogen 2,nid2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1540
B1H2T8,B1H2T8_XENTR,unreviewed,Chrdl1 protein,chrdl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),346
A0A803JN47,A0A803JN47_XENTR,unreviewed,Chordin-like 1,chrdl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),398
A0A6I8T260,A0A6I8T260_XENTR,unreviewed,Cocaine- and amphetamine-regulated transcript protein,LOC100492550,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),119
A0A803K6D4,A0A803K6D4_XENTR,unreviewed,Insulin-like growth factor-binding protein 4,igfbp4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),286
A0A803KK53,A0A803KK53_XENTR,unreviewed,Matrix metallopeptidase 17,mmp17,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),602
F6XED0,F6XED0_XENTR,unreviewed,von Willebrand factor C domain containing protein 2 like,vwc2l,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),222
D4AHU6,D4AHU6_XENTR,unreviewed,Beta-2-microglobulin (Fragment),B2m,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),113
A0A6I8S474,A0A6I8S474_XENTR,unreviewed,Meteorin-like protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),223
A0A6I8QYG5,A0A6I8QYG5_XENTR,unreviewed,"Collagen, type IV, alpha 5",col4a5,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1688
A0A6I8SCP3,A0A6I8SCP3_XENTR,unreviewed,AE binding protein 1,aebp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1222
A0A6I8S561,A0A6I8S561_XENTR,unreviewed,Complement C3,c3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1703
A0A6I8RXV1,A0A6I8RXV1_XENTR,unreviewed,Fibrillin 1,fbn1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2866
A0A6I8QWH9,A0A6I8QWH9_XENTR,unreviewed,"Nodal homolog 3, gene 1",nodal3.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),401
A0A803KLF0,A0A803KLF0_XENTR,unreviewed,Amelogenin X-linked,amelx,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),196
Q28HJ1,Q28HJ1_XENTR,unreviewed,Galectin,lgals3 TTpA011d16.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),256
A0A803JVV2,A0A803JVV2_XENTR,unreviewed,Neurexophilin,nxph1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),255
A0A6I8SY27,A0A6I8SY27_XENTR,unreviewed,Heparan sulfate proteoglycan 2,hspg2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),4296
A0A803J9L8,A0A803J9L8_XENTR,unreviewed,Provisional ortholog of Fc fragment of IgG-binding protein,XB5897453 [provisional:fcgbp],Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1640
A0A803K8M6,A0A803K8M6_XENTR,unreviewed,Osteocalcin,bglap,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),127
A4IH02,A4IH02_XENTR,unreviewed,LOC100038292 protein,emilin1 LOC100038292,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1053
A0A6I8RBV5,A0A6I8RBV5_XENTR,unreviewed,Thyroid stimulating hormone beta,tshb,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),140
F7CHX8,F7CHX8_XENTR,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase 3,enpp3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),877
A0A6I8PZ54,A0A6I8PZ54_XENTR,unreviewed,Laminin subunit alpha 2,lama2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3079
Q8AWX4,Q8AWX4_XENTR,unreviewed,Egg envelope component ZPB,zp4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),543
A0A803JG82,A0A803JG82_XENTR,unreviewed,Interleukin 17D,il17d,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),229
A0A6I8S759,A0A6I8S759_XENTR,unreviewed,Thrombospondin type 1 domain containing 4,thsd4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),641
A0A803JMK3,A0A803JMK3_XENTR,unreviewed,Uncharacterized protein,,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),166
A0A1B8Y6N6,A0A1B8Y6N6_XENTR,unreviewed,VWFC domain-containing protein,XENTR_v90030653mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),152
A0A1B8Y5Q4,A0A1B8Y5Q4_XENTR,unreviewed,Uncharacterized protein,XENTR_v90025848mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1250
A0A1B8XVZ5,A0A1B8XVZ5_XENTR,unreviewed,NTR domain-containing protein (Fragment),XENTR_v900257841mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),126
A0A6I8QAE1,A0A6I8QAE1_XENTR,unreviewed,Matrix metallopeptidase 15,mmp15,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),613
A0A6I8RVZ0,A0A6I8RVZ0_XENTR,unreviewed,Pregnancy-zone protein,pzp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1520
F6PZA7,F6PZA7_XENTR,unreviewed,C-type natriuretic peptide 1,LOC100495918,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),130
A0A6I8R5Z7,A0A6I8R5Z7_XENTR,unreviewed,Olfactomedin 2,olfm2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),510
A0A6I8SCL8,A0A6I8SCL8_XENTR,unreviewed,Transforming growth factor-beta-induced protein ig-h3,tgfbi,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),660
A0A6I8SQH5,A0A6I8SQH5_XENTR,unreviewed,Complement C3,LOC101734099,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1647
A0A803K246,A0A803K246_XENTR,unreviewed,Matrix metallopeptidase 21,mmp21,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),623
